_id	tenMau.tenVietNam	maDeTai.maDeTai
591d5677a0ac9816664979f5	Cá cóc Ziegler	BSTMV.13/15-18
591d5c59496eab1660e4fa1b	Cóc nhà	BSTMV.13/15-18
591d5e78496eab1660e4fa1e	Cóc nhà	BSTMV.13/15-18
592f87ca1060e806cff2e845		BSTMV.22/15-19
5930d5dfd1a9c320b3ecdf24	Đồi	BSTMV.15/2016-2021
5930d600b250dc20b148411a		BSTMV.15/2016-2021
59361cb64acc4909c37759be	kiến	BSTMV.03/15-17
593621d51a581609c941837d	kiến	BSTMV.03/15-17
594784f5ee6da36ed78fbc4b	Mèo rừng	BSTMV.15/2016-2021
5947868dee6da36ed78fbc4d	Mèo rừng	BSTMV.15/2016-2021
59478ac9ee6da36ed78fbc4f	Đồi	BSTMV.15/2016-2021
59487885ee6da36ed78fbc51	Đồi	BSTMV.15/2016-2021
594a1c638ceaaf6ed127eb44		BSTMV.13/15-18
594a9bf20c4b6f4295eb2e93		BSTMV.13/15-18
594a9f280c4b6f4295eb2e95		BSTMV.13/15-18
5962ecdb209d8d48a9458aa2	Bìm bịp lớn	BSTMV.15/2016-2021
5962edf0bdd5e548a6e770ba	Bìm bịp lớn	BSTMV.15/2016-2021
5962f555209d8d48a9458aa5		BSTMV.15/2016-2021
5962f63e209d8d48a9458aa7	Bọ hung ba sừng	BSTMV.15/2016-2021
5962f656bdd5e548a6e770bf	Cá cóc Ziegler	BSTMV.15/2016-2021
5962faa2bdd5e548a6e770c1	Bướm cánh phượng kiếm	BSTMV.15/2016-2021
5962fe08bdd5e548a6e770c3	Bướm phượng đuôi kiếm xích	BSTMV.15/2016-2021
5963237ebdd5e548a6e770c5	Bướm phượng đuôi kiếm xích	BSTMV.15/2016-2021
596327d3bdd5e548a6e770c7		BSTMV.15/2016-2021
59632cd3209d8d48a9458aac	Bướm ngựa vằn trung bình	BSTMV.15/2016-2021
59633196bdd5e548a6e770c9	Bướm chai xanh	BSTMV.15/2016-2021
5963389ebdd5e548a6e770cb	Bướm phượng Pari	BSTMV.15/2016-2021
59642f48b65f4c383299516b	Bướm hải âu cam	BSTMV.15/2016-2021
596433b30f84c03831ee6dcd	Bướm trắng lớn	BSTMV.15/2016-2021
5964374bb65f4c383299516e	Bướm gốc cánh đỏ	BSTMV.15/2016-2021
5964408db65f4c3832995170	Bướm cánh hình lưỡi cưa	BSTMV.15/2016-2021
596444e5b65f4c3832995172	Bướm cam di cư	BSTMV.15/2016-2021
59644780b65f4c3832995174	Bướm lá vàng	BSTMV.15/2016-2021
597ab3c5540bd658f666c9d5	chua co	BSTMV.22/15-19
597eba0d00cf1f59003b0a8d	Thằn lằn ngón bi-doup	BSTMV.15/2016-2021
597ecda500cf1f59003b0a8f	Cóc mắt bên	BSTMV.15/2016-2021
598102e8c5939b4060e552c0		BSTMV.13/15-18
598147dcc5939b4060e552c4	Sáo mỏ vàng	BSTMV.15/2016-2021
5981491fb126bc405a66d880	Quạ đen	BSTMV.15/2016-2021
59814bacc5939b4060e552c6	Quạ đen	BSTMV.15/2016-2021
5981f2f6b126bc405a66d888	Cá Phèn Jansen	BSTMV.03/15-17
59828d4e24c064598ab98ce0	Bìm bịp lớn	BSTMV.15/2016-2021
5982d0b1cfb8e85b937e0202		BSTMV.03/15-17
5982da90f5ab305b8d471909		BSTMV.03/15-17
5982dd439a818a5c3a743534		BSTMV.03/15-17
5982ebb9d2c8675c447584b3		BSTMV.03/15-17
598344c8d85a365d62d0b6e7		BSTMV.03/15-17
598423ba826c436053cb37a8		BSTMV.03/15-17
598423ba2a27706055ed2bd8		BSTMV.03/15-17
5987031a2a27706055ed2bdf		BSTMV.13/15-18
5987da9b826c436053cb37bf		BSTMV.03/15-17
5987de4f826c436053cb37c3	Ốc cạn	BSTMV.03/15-17
59915e27327b850b9f9c00d2		BSTMV.03/15-17
59915ea9327b850b9f9c00d4		BSTMV.03/15-17
5992acc8952dbb6e4cae6d2c		BSTMV.03/15-17
5992ad20952dbb6e4cae6d2e	Cá Phèn Rưng	BSTMV.03/15-17
5992adc30520cb6e52c60900		BSTMV.03/15-17
59956eeeced5dc7fb7e56ace		BSTMV.03/15-17
59baaf344500124a03e63e7d		BSTMV.03/15-17
59bab178f099db49f943e5b2		BSTMV.03/15-17
59bab24f4500124a03e63e81		BSTMV.03/15-17
59bac053f099db49f943e5b6	n	BSTMV.03/15-17
59bac0f24500124a03e63e85		BSTMV.03/15-17
59bac420f099db49f943e5b8		BSTMV.03/15-17
